step,value,wall_time,tag,source_file
1,1.1306999921798706,1765295003.4058962,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
10,3.015500068664551,1765295022.058149,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
20,2.3543999195098877,1765295038.099034,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
30,1.805299997329712,1765295052.7075136,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
40,1.2582999467849731,1765295067.0014513,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
50,0.975600004196167,1765295081.2279892,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
60,1.1799999475479126,1765295104.9008784,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
70,0.927299976348877,1765295120.43635,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
80,0.6588000059127808,1765295134.7754872,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
90,0.5110999941825867,1765295149.1259713,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
100,0.6718000173568726,1765295163.439238,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
110,1.1348999738693237,1765295189.6298373,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
120,0.72079998254776,1765295205.5573862,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
130,0.525600016117096,1765295219.9814947,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
140,0.41339999437332153,1765295234.2858863,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
150,0.5358999967575073,1765295248.5139098,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
160,0.991599977016449,1765295273.0587668,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
170,0.5853000283241272,1765295289.119223,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
180,0.41609999537467957,1765295303.474271,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
190,0.42289999127388,1765295317.7695725,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
200,0.5784000158309937,1765295332.025949,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
210,0.9381999969482422,1765295358.9158535,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
220,0.46959999203681946,1765295374.9256067,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
230,0.39660000801086426,1765295389.4134176,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
240,0.38960000872612,1765295403.79595,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
250,0.40130001306533813,1765295418.2207444,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
260,0.9961000084877014,1765295443.5136487,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
270,0.46160000562667847,1765295459.5498524,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
280,0.37389999628067017,1765295474.056956,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
290,0.35530000925064087,1765295488.3799944,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
300,0.5138999819755554,1765295502.747471,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
310,0.9071999788284302,1765295526.4244425,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
320,0.4887999892234802,1765295542.3339677,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
330,0.3984000086784363,1765295557.0921626,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
340,0.36399999260902405,1765295572.4717734,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
350,0.4487000107765198,1765295586.882963,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
360,0.8810999989509583,1765295610.7189658,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
370,0.4406000077724457,1765295626.512362,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
380,0.3375000059604645,1765295640.950372,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
390,0.3492000102996826,1765295655.199695,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
400,0.39320001006126404,1765295669.4907928,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
410,0.8712000250816345,1765295693.6718454,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
420,0.42570000886917114,1765295709.633069,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
430,0.3418000042438507,1765295724.0550153,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
440,0.30880001187324524,1765295738.40613,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
450,0.3725000023841858,1765295752.700201,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
460,0.6923999786376953,1765295776.9577034,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
470,0.46720001101493835,1765295792.8158913,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
480,0.3379000127315521,1765295807.158331,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
490,0.3395000100135803,1765295821.538108,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
500,0.38109999895095825,1765295835.8832662,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
510,0.8126999735832214,1765295860.7329915,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
520,0.41609999537467957,1765295876.546953,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
530,0.30709999799728394,1765295890.9958365,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
540,0.2955999970436096,1765295905.31751,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
550,0.38670000433921814,1765295919.6475065,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
560,0.8180999755859375,1765295944.9857605,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
570,0.350600004196167,1765295960.9559054,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
580,0.3257000148296356,1765295975.443646,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
590,0.32670000195503235,1765295989.7400212,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
600,0.3741999864578247,1765296004.0344927,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
610,0.5383999943733215,1765296023.500777,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
620,0.2969000041484833,1765296037.9922152,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
630,0.4375999867916107,1765296061.997105,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
640,0.5892999768257141,1765296080.327348,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
650,0.31189998984336853,1765296095.178936,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
660,0.29899999499320984,1765296109.7017193,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
670,0.2199999988079071,1765296124.0096674,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
680,0.5931000113487244,1765296144.921077,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
690,0.5916000008583069,1765296163.2068195,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
700,0.26460000872612,1765296177.9044354,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
710,0.2921999990940094,1765296192.2883506,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
720,0.25859999656677246,1765296206.6511796,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
730,0.5067999958992004,1765296230.2098684,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
740,0.5964000225067139,1765296248.33458,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
750,0.26969999074935913,1765296263.154158,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
760,0.2721000015735626,1765296277.473404,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
770,0.2354000061750412,1765296291.736774,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
780,0.7333999872207642,1765296313.0450954,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
790,0.428600013256073,1765296330.464641,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
800,0.287200003862381,1765296345.083425,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
810,0.3066999912261963,1765296359.4965866,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
820,0.22939999401569366,1765296373.8257082,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
830,0.6111000180244446,1765296395.4326863,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
840,0.5174999833106995,1765296412.97037,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
850,0.2734000086784363,1765296427.6873071,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
860,0.2721000015735626,1765296442.0761976,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
870,0.24070000648498535,1765296456.3170304,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
880,0.41290000081062317,1765296481.2053566,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
890,0.8693000078201294,1765296499.8221457,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
900,0.2689000070095062,1765296514.8703642,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
910,0.26899999380111694,1765296529.2577677,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
920,0.2387000024318695,1765296543.5516264,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
930,0.48179998993873596,1765296565.286345,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
940,0.664900004863739,1765296583.787612,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
950,0.2754000127315521,1765296598.6140525,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
960,0.2667999863624573,1765296613.0811522,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
970,0.2630999982357025,1765296627.3300276,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
980,0.6151999831199646,1765296650.721527,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
990,0.48559999465942383,1765296668.4586773,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1000,0.24469999969005585,1765296683.4856956,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1010,0.2863999903202057,1765296698.7531006,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1020,0.21799999475479126,1765296712.9307203,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1030,0.5315999984741211,1765296734.5280235,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1040,0.6263999938964844,1765296752.408751,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1050,0.28279998898506165,1765296766.96822,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1060,0.2621999979019165,1765296781.2724059,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1070,0.22750000655651093,1765296795.4375362,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1080,0.44440001249313354,1765296817.2011108,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1090,0.6141999959945679,1765296835.430245,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1100,0.2533999979496002,1765296850.1860378,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1110,0.3278000056743622,1765296864.508673,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1120,0.21549999713897705,1765296878.7015932,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1130,0.6176000237464905,1765296899.6261477,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1140,0.5067999958992004,1765296917.7828805,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1150,0.2549999952316284,1765296932.5203688,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1160,0.23260000348091125,1765296946.849793,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1170,0.24390000104904175,1765296961.0739133,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1180,0.5313000082969666,1765296981.6634002,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1190,0.5695000290870667,1765296999.4115984,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1200,0.28929999470710754,1765297014.161249,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1210,0.23880000412464142,1765297028.5087426,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1220,0.22679999470710754,1765297042.7692852,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1230,0.5651000142097473,1765297061.7284427,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1240,0.2782999873161316,1765297077.037163,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1250,0.2596000134944916,1765297091.579931,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1260,0.5392000079154968,1765297114.568994,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1270,0.2418999969959259,1765297130.444534,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1280,0.21240000426769257,1765297144.8154635,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1290,0.20239999890327454,1765297159.132819,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1300,0.25589999556541443,1765297173.3774667,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1310,0.6922000050544739,1765297198.9103017,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1320,0.31949999928474426,1765297214.758995,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1330,0.20970000326633453,1765297229.103505,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1340,0.23229999840259552,1765297243.3174357,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
1350,0.22840000689029694,1765297257.4970324,train/loss,events.out.tfevents.1765294997.d21719efd147.4736.0
