step,value,wall_time,tag,source_file
1,1.2060999870300293,1765212524.6247811,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
10,2.020400047302246,1765212550.5079782,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
20,2.2836999893188477,1765212571.80563,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
30,2.2337000370025635,1765212589.6110764,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
40,2.0901999473571777,1765212606.7836037,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
50,1.690600037574768,1765212622.8126721,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
60,1.274399995803833,1765212654.8389027,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
70,1.22160005569458,1765212675.2096322,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
80,1.0089999437332153,1765212692.93059,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
90,0.887499988079071,1765212710.0842981,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
100,1.0329999923706055,1765212726.1619594,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
110,1.2073999643325806,1765212762.5266576,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
120,1.11899995803833,1765212783.5094686,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
130,0.7753000259399414,1765212801.2904778,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
140,0.6243000030517578,1765212818.4264853,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
150,0.8551999926567078,1765212834.3388536,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
160,1.0973999500274658,1765212867.6312568,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
170,0.9122999906539917,1765212888.5517716,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
180,0.6577000021934509,1765212906.451179,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
190,0.5695000290870667,1765212923.5729377,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
200,0.9907000064849854,1765212939.5251098,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
210,1.079800009727478,1765212975.9401438,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
220,0.8234999775886536,1765212996.8810506,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
230,0.5940999984741211,1765213014.6633048,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
240,0.5202000141143799,1765213031.7934651,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
250,0.6518999934196472,1765213047.7410033,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
260,0.989799976348877,1765213081.5332303,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
270,0.8902999758720398,1765213102.8189926,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
280,0.5325000286102295,1765213120.6271527,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
290,0.4961000084877014,1765213137.7787752,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
300,0.8349000215530396,1765213153.759055,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
310,0.9993000030517578,1765213186.4203568,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
320,0.8741999864578247,1765213207.7627203,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
330,0.5537999868392944,1765213225.6868165,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
340,0.524399995803833,1765213242.8318868,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
350,0.7210000157356262,1765213258.9669514,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
360,1.0537999868392944,1765213291.2145026,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
370,0.6680999994277954,1765213311.978709,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
380,0.47540000081062317,1765213329.7128506,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
390,0.46950000524520874,1765213346.8863652,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
400,0.6080999970436096,1765213362.917497,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
410,1.0140000581741333,1765213395.238383,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
420,0.5934000015258789,1765213416.1962624,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
430,0.45339998602867126,1765213433.996806,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
440,0.4618000090122223,1765213451.1737692,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
450,0.5740000009536743,1765213467.2964654,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
460,0.7960000038146973,1765213502.9802766,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
470,0.7182000279426575,1765213523.5875368,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
480,0.47999998927116394,1765213541.41577,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
490,0.4413999915122986,1765213558.5572264,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
500,0.608299970626831,1765213574.6123965,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
510,0.8924000263214111,1765213610.119935,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
520,0.6578999757766724,1765213630.852738,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
530,0.42309999465942383,1765213648.6052318,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
540,0.3986000120639801,1765213665.728112,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
550,0.5827000141143799,1765213681.6120555,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
560,0.9545999765396118,1765213716.3156419,train/loss,events.out.tfevents.1765212517.bb24cc31a678.195979.0
